* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
8010.971128	67.264299
8127.493386	67.216606
8245.710500	67.167201
8365.647121	67.009189
8487.328260	66.834806
8610.779292	66.589262
8736.025961	66.300784
8863.094385	66.015566
8992.011061	65.811398
9122.802874	65.578988
9255.497097	65.315486
9390.121402	64.880088
9526.703863	64.607277
9665.272962	64.344373
9805.857594	64.063103
9948.487077	63.772054
10093.191154	63.569044
10240.000000	63.350766
10388.944230	63.132417
10540.054903	62.931657
10693.363532	62.727977
10848.902086	62.537839
11006.703001	62.379817
11166.799182	62.161506
11329.224017	61.960609
11494.011375	61.735394
11661.195620	61.506904
11830.811616	61.408863
12002.894734	61.190566
12177.480858	61.032511
12354.606395	60.834074
12534.308283	60.630552
12716.623996	60.437904
12901.591551	60.279864
13089.249521	60.061542
13279.637040	59.881481
13472.793808	59.685116
13668.760107	59.485894
13867.576801	59.353297
14069.285350	59.150842
14273.927818	58.992816
14481.546879	58.802183
14692.185828	58.605015
14905.888592	58.404979
15122.699734	58.300386
15342.664467	58.082094
15565.828661	57.932183
15792.238852	57.819591
16021.942256	57.705361
16254.986772	57.589469
16491.420999	57.471892
16731.294241	57.418153
16974.656520	57.365508
17221.558584	57.312848
17472.051922	57.269639
17726.188769	57.233917
17984.022122	57.197675
18245.605748	57.160906
18510.994194	57.123603
18780.242805	57.108434
19053.407727	57.108434
19330.545924	57.108434
19611.715189	57.108434
19896.974155	57.108434
20186.382308	57.108434
