* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
4000.000000	92.592	157.3529
4060.000000	92.215	156.2011
4120.000000	91.809	155.5416
4180.000000	91.400	155.4640
4250.000000	90.960	156.1115
4310.000000	90.655	157.1953
4370.000000	90.449	158.5540
4440.000000	90.348	160.0715
4500.000000	90.354	161.0067
4550.000000	90.394	161.4522
4620.000000	90.469	161.5833
4680.000000	90.530	161.2919
4750.000000	90.575	160.5873
4820.000000	90.581	159.6312
4870.000000	90.559	158.8666
4940.000000	90.495	157.7752
5000.000000	90.416	156.8724
5080.000000	90.283	155.7298
5150.000000	90.142	154.7964
5220.000000	89.975	153.9810
5300.000000	89.757	153.3051
5380.000000	89.527	153.0425
5450.000000	89.349	153.2033
5520.000000	89.233	153.6182
5600.000000	89.203	154.0549
5700.000000	89.294	153.8509
5800.000000	89.413	152.3193
5900.000000	89.426	149.5508
6000.000000	89.250	146.1670
6080.000000	88.963	143.5049
6150.000000	88.609	141.4854
6220.000000	88.173	139.9662
6300.000000	87.604	139.0143
6400.000000	86.856	139.0113
6500.000000	86.131	140.1083
6600.000000	85.466	142.0837
6700.000000	84.884	144.7882
6800.000000	84.411	148.0702
6900.000000	84.073	151.7143
7000.000000	83.881	155.4697
7100.000000	83.831	159.1022
7200.000000	83.911	162.4055
7300.000000	84.101	165.2090
7400.000000	84.379	167.3551
7500.000000	84.713	168.6702
7620.000000	85.121	168.9762
7750.000000	85.477	167.8356
7880.000000	85.677	165.6216
8000.000000	85.706	163.1028
8120.000000	85.586	160.5420
8250.000000	85.309	158.1424
8380.000000	84.932	156.4252
8500.000000	84.554	155.4315
8620.000000	84.185	154.7792
8750.000000	83.807	154.1006
8850.000000	83.512	153.3952
9000.000000	82.979	152.0613
9120.000000	82.408	151.2359
9250.000000	81.618	151.3855
9380.000000	80.689	153.3411
9500.000000	79.785	157.1593
9620.000000	78.956	163.0059
9750.000000	78.341	171.3016
9880.000000	78.243	-179.2447
10000.000000	78.698	-170.6100
10150.000000	79.858	-161.5445
10300.000000	81.333	-155.7943
10440.000000	82.692	-154.1551
10600.000000	83.950	-156.6794
10750.000000	84.687	-162.1871
10900.000000	84.955	-168.8307
11060.000000	84.793	-175.1658
11200.000000	84.369	-179.0724
11380.000000	83.582	178.7267
11500.000000	82.982	179.1448
11720.000000	81.961	-176.2560
11800.000000	81.695	-173.5126
12060.000000	81.653	-162.1853
12200.000000	82.305	-155.6953
12410.000000	84.073	-147.7827
12500.000000	84.998	-145.7706
12650.000000	86.552	-145.1633
12800.000000	87.921	-148.5448
